wavelength,counts
586.58948,30
587.01025,10
587.43097,-40
587.85175,60
588.27246,20
588.69318,0
589.11389,0
589.53461,40
589.95532,-10
590.37604,10
590.79669,-50
591.21735,50
591.63806,0
592.05872,40
592.47937,80
592.89996,-60
593.32062,-30
593.74127,10
594.16187,20
594.58246,70
595.00305,90
595.42365,80
595.84424,50
596.26477,40
596.68536,-20
597.1059,20
597.52643,70
597.94696,40
598.36749,50
598.78802,30
599.20856,10
599.62903,-30
600.0495,0
600.47003,30
600.8905,70
601.31091,20
601.73138,0
602.15186,-20
602.57227,40
602.99268,40
603.41309,0
603.8335,20
604.25391,40
604.67432,40
605.09467,-20
605.51508,60
605.93542,-10
606.35577,30
606.77612,20
607.19641,50
607.61676,20
608.03705,-20
608.4574,20
608.87769,50
609.29797,0
609.7182,70
610.13849,60
610.55872,50
610.979,70
611.39923,50
611.81946,40
612.23969,70
612.65985,30
613.08008,30
613.50024,30
613.92041,10
614.34058,-30
614.76074,90
615.18091,-20
615.60107,100
616.02118,20
616.44128,30
616.86139,10
617.28149,50
617.7016,20
618.12164,-10
618.54175,50
618.96179,40
619.38184,30
619.80188,50
620.22192,70
620.64191,70
621.06189,20
621.48193,10
621.90192,20
622.3219,70
622.74182,50
623.1618,30
623.58173,20
624.00165,20
624.42157,20
624.84149,30
625.26141,60
625.68134,-30
626.1012,80
626.52106,-20
626.94092,40
627.36078,60
627.78064,-20
628.20044,40
628.62024,30
629.04004,30
629.45984,20
629.87964,10
630.29944,10
630.71918,110
631.13892,20
631.55872,90
631.97839,90
632.39813,30
632.81787,30
633.23755,80
633.65723,-30
634.0769,10
634.49658,0
634.91626,20
635.33588,40
635.75549,10
636.17517,80
636.59473,20
637.01434,-30
637.43396,-30
637.85352,0
638.27307,-20
638.69263,0
639.11218,80
639.53174,50
639.95123,30
640.37079,20
640.79028,10
641.20978,50
641.62921,60
642.04871,40
642.46814,-30
642.88757,0
643.30701,70
643.72644,20
644.14587,40
644.56525,0
644.98462,10
645.40399,-10
645.82336,90
646.24274,50
646.66205,-20
647.08142,0
647.50073,40
647.92004,-20
648.33929,30
648.75861,10
649.17786,20
649.59711,100
650.01636,0
650.43561,10
650.8548,70
651.27405,30
651.69324,-20
652.11243,10
652.53162,0
652.95074,40
653.36987,0
653.78906,-60
654.20819,50
654.62726,40
655.04639,20
655.46545,0
655.88458,70
656.30365,90
656.72266,120
657.14172,120
657.56073,40
657.97974,120
658.39874,90
658.81775,120
659.23676,100
659.6557,70
660.07465,150
660.49359,130
660.91254,110
661.33148,110
661.75037,50
662.16925,80
662.58813,20
663.00702,30
663.42584,50
663.84473,50
664.26355,-90
664.68237,0
665.10114,70
665.51996,40
665.93872,10
666.35748,10
666.77625,-30
667.19501,80
667.61371,50
668.03247,0
668.45117,50
668.86987,20
669.28851,-10
669.70721,60
670.12585,10
670.54449,30
670.96313,0
671.38171,100
671.80035,40
672.21893,30
672.63751,-10
673.05603,-20
673.47461,-10
673.89313,70
674.31165,20
674.73016,0
675.14868,90
675.56714,70
675.9856,10
676.40405,10
676.82251,50
677.24097,0
677.65936,40
678.07776,-10
678.49615,20
678.91455,-10
679.33289,40
679.75122,50
680.16956,50
680.58789,10
681.00623,20
681.4245,10
681.84277,30
682.26105,50
682.67932,-40
683.09753,80
683.51581,80
683.93402,70
684.35223,20
684.77039,80
685.18854,80
685.60675,70
686.0249,70
686.44299,-20
686.86115,50
687.27924,-10
687.69733,-40
688.11542,30
688.53345,70
688.95148,40
689.36957,70
689.78754,70
690.20557,10
690.62354,0
691.04156,-30
691.45953,40
691.87744,60
692.29541,10
692.71332,110
693.13123,40
693.54913,70
693.96698,60
694.38489,80
694.80273,60
695.22058,60
695.63837,60
696.05621,50
696.474,40
696.89178,-10
697.30951,80
697.72729,50
698.14502,50
698.56274,120
698.98047,80
699.39813,100
699.8158,120
700.23346,70
700.65112,70
701.06879,150
701.48639,100
701.90399,160
702.32159,60
702.73914,140
703.15674,130
703.57428,80
703.99182,40
704.4093,90
704.82684,140
705.24432,140
705.6618,170
706.07922,130
706.4967,110
706.91412,90
707.33154,90
707.74896,100
708.16632,170
708.58368,70
709.00104,130
709.4184,130
709.83569,70
710.25299,100
710.67029,80
711.08759,70
711.50482,90
711.92212,120
712.33936,190
712.75653,110
713.17377,180
713.59094,70
714.00812,160
714.42529,100
714.84241,120
715.25952,90
715.67664,120
716.09375,140
716.5108,90
716.92786,150
717.34491,90
717.76196,120
718.17902,90
718.59601,100
719.013,50
719.42993,150
719.84692,110
720.26385,100
720.68079,100
721.09766,140
721.51459,110
721.93146,150
722.34833,90
722.76514,110
723.18201,150
723.59882,170
724.01556,230
724.43237,160
724.84912,150
725.26587,100
725.68262,90
726.09937,170
726.51605,110
726.93274,160
727.34943,180
727.76605,180
728.18268,150
728.5993,200
729.01593,150
729.4325,250
729.84912,180
730.26563,190
730.68219,250
731.09869,180
731.51526,180
731.9317,200
732.34821,200
732.76465,170
733.18109,220
733.59753,230
734.01392,260
734.43036,280
734.84674,270
735.26306,220
735.67944,260
736.09576,300
736.51208,320
736.92834,200
737.34467,270
737.76093,370
738.17712,270
738.59338,310
739.00958,370
739.42578,290
739.84198,270
740.25812,330
740.67426,380
741.09039,360
741.50653,410
741.92261,380
742.33868,380
742.75476,460
743.17078,480
743.58685,460
744.00287,430
744.41882,500
744.83484,480
745.25079,610
745.66669,560
746.08264,560
746.49854,520
746.91443,700
747.33032,700
747.74615,600
748.16199,630
748.57782,610
748.99365,740
749.40942,670
749.8252,690
750.24097,780
750.65668,770
751.07239,800
751.4881,920
751.90381,990
752.31946,940
752.73511,980
753.15076,880
753.56635,1120
753.98199,1090
754.39752,1070
754.81311,1190
755.22864,1320
755.64417,1280
756.05969,1350
756.47516,1450
756.89069,1460
757.30609,1520
757.72156,1400
758.13696,1650
758.55237,1740
758.96777,1720
759.38312,1730
759.79846,1890
760.21381,1860
760.62915,2020
761.04443,2170
761.45972,2110
761.875,2250
762.29022,2460
762.70544,2540
763.12067,2590
763.53583,2800
763.95099,2790
764.36615,2790
764.78131,3040
765.19641,3210
765.61151,3170
766.02661,3320
766.44165,3410
766.85669,3430
767.27173,3610
767.68677,3620
768.10175,3630
768.51672,4020
768.93164,4100
769.34662,4350
769.76154,4190
770.17639,4740
770.59131,4670
771.00616,4830
771.42102,5140
771.83582,5360
772.25061,5390
772.66541,5650
773.0802,5920
773.49493,6240
773.90967,6430
774.3244,6530
774.73907,6810
775.15375,6850
775.56842,7220
775.98303,7440
776.39764,7780
776.81226,7970
777.22687,8410
777.64142,8380
778.05597,8900
778.47046,9350
778.88501,9900
779.2995,10110
779.71393,10250
780.12842,10570
780.54285,11090
780.95728,11600
781.37164,11750
781.78601,12070
782.20038,12700
782.61469,13300
783.02905,13450
783.4433,14150
783.8576,14620
784.27185,14970
784.6861,15080
785.10034,16240
785.51453,16530
785.92871,17090
786.3429,17480
786.75702,18450
787.17114,18890
787.58527,19570
787.99933,20750
788.41339,20630
788.82745,21880
789.24146,22160
789.65552,22820
790.06946,23590
790.48346,24490
790.8974,24590
791.31134,25150
791.72522,26350
792.13916,27500
792.55304,27970
792.96686,28090
793.38068,29290
793.79449,29300
794.20831,30180
794.62207,31010
795.03583,32750
795.44958,32780
795.86328,33730
796.27698,34440
796.69067,35740
797.10431,36690
797.51794,37010
797.93158,37570
798.34515,38320
798.75873,39510
799.1723,40620
799.58582,40720
799.99933,41440
800.41284,42480
800.82629,43880
801.23975,44270
801.6532,44560
802.06659,46090
802.47998,45760
802.89337,46790
803.30676,47040
803.72009,49470
804.13336,48650
804.54669,50020
804.95996,49950
805.37323,50810
805.78644,50660
806.19965,51690
806.61285,52450
807.026,52910
807.43915,53130
807.85229,53850
808.26538,54380
808.67853,54620
809.09155,54970
809.50464,55120
809.91766,55420
810.33063,55270
810.74365,55420
811.15662,55630
811.56958,55770
811.98248,56050
812.39539,55550
812.80829,55750
813.22113,55720
813.63397,56130
814.04681,55350
814.45959,54760
814.87238,54890
815.28516,55180
815.69788,54700
816.1106,53890
816.52332,53500
816.93597,53680
817.34863,53680
817.76123,52820
818.17389,52000
818.58643,52230
818.99902,51380
819.41156,51330
819.8241,50900
820.23663,50330
820.64911,48970
821.06158,49380
821.474,48840
821.88641,48630
822.29883,47490
822.71118,46840
823.12354,46800
823.53589,45360
823.94824,45200
824.36053,44250
824.77277,44370
825.18506,44130
825.59729,42860
826.00946,42610
826.42169,41550
826.8338,40640
827.24597,40450
827.65808,39900
828.07019,39150
828.4823,38830
828.89435,37850
829.3064,37700
829.71838,36510
830.13037,36310
830.54236,35900
830.95428,34260
831.36621,34490
831.77814,34340
832.19,33770
832.60187,33130
833.01373,32320
833.42554,31560
833.83734,31090
834.24908,30700
834.66089,30280
835.07257,29770
835.48431,29480
835.896,28320
836.30768,28490
836.7193,27080
837.13092,26960
837.54254,26050
837.9541,25480
838.36566,25340
838.77716,24400
839.18866,24300
839.60016,23310
840.01166,23210
840.4231,22600
840.83453,22000
841.24591,21710
841.65729,21260
842.06866,20490
842.47998,20500
842.8913,19510
843.30255,19470
843.71381,18900
844.12506,18950
844.53632,18100
844.94751,17370
845.35864,16860
845.76984,16460
846.18097,16010
846.59204,15640
847.00311,15350
847.41418,15040
847.82526,14790
848.23627,13780
848.64722,14120
849.05823,13130
849.46918,13260
849.88007,12970
850.29102,12440
850.70184,12000
851.11273,11830
851.52356,11390
851.93439,10960
852.34515,10730
852.75592,10430
853.16669,9970
853.57739,10250
853.9881,9710
854.39874,9470
854.80939,9040
855.22003,8780
855.63062,8500
856.0412,8010
856.45178,8220
856.8623,7660
857.27283,7700
857.68329,7110
858.09375,7250
858.50421,6850
858.91461,6700
859.32501,6520
859.73541,6420
860.14575,6010
860.55609,6040
860.96637,5590
861.37665,5610
861.78693,5260
862.19714,5360
862.60736,5270
863.01752,4880
863.42767,4870
863.83783,4740
864.24792,4640
864.65802,4110
865.06812,4240
865.47815,3920
865.88818,3910
866.29816,3870
866.70813,3710
867.1181,3530
867.52802,3440
867.93793,3390
868.34778,3350
868.75763,3020
869.16748,3160
869.57727,3040
869.98706,3010
870.39679,2740
870.80652,2640
871.21625,2770
871.62592,2490
872.03558,2470
872.44525,2480
872.85486,2370
873.26447,2280
873.67401,2250
874.08356,2160
874.49304,1990
874.90259,2150
875.31201,2100
875.7215,2030
876.13092,2000
876.54028,1870
876.94965,1920
877.35901,1770
877.76831,1560
878.17761,1640
878.58691,1550
878.99615,1590
879.4054,1500
879.81458,1370
880.22375,1500
880.63293,1400
881.04205,1330
881.45111,1290
881.86023,1160
882.26929,1320
882.67828,1090
883.08728,1220
883.49628,1040
883.90521,1110
884.31415,1050
884.72308,980
885.13196,1050
885.54083,1010
885.94965,1000
886.35846,1010
886.76721,930
887.17596,870
887.58472,820
887.99341,840
888.4021,900
888.81079,830
889.21942,820
889.62799,710
890.03662,730
890.44513,870
890.8537,800
891.26221,730
891.67065,730
892.0791,730
892.48755,730
892.896,670
893.30432,730
893.71271,520
894.12103,680
894.52936,570
894.93762,570
895.34589,530
895.75409,580
896.16229,500
896.5705,590
896.97864,590
897.38678,500
897.79486,650
898.20294,550
898.61102,500
899.01904,450
899.427,510
899.83502,530
900.24298,410
900.65088,350
901.05878,350
901.46667,400
901.87451,390
902.28235,360
902.69012,370
903.0979,350
903.50562,420
903.91333,290
904.32104,310
904.7287,420
905.13635,400
905.54395,370
905.95154,410
906.35913,340
906.76666,400
907.17413,330
907.58167,310
907.98914,210
908.39655,340
908.80396,240
909.2113,280
909.61871,270
910.026,260
910.43329,270
910.84058,290
911.24786,250
911.65509,260
912.06226,220
912.46942,280
912.87659,250
913.28369,290
913.6908,260
914.09784,250
914.50488,280
914.91193,290
915.31891,260
915.72583,240
916.13281,310
916.53967,180
916.94659,210
917.35345,180
917.76025,230
918.16705,160
918.57385,200
918.98059,230
919.38733,270
919.79401,210
920.20068,240
920.6073,160
921.01392,190
921.42053,190
921.82709,210
922.23358,150
922.64014,180
923.04657,230
923.45306,210
923.8595,200
924.26587,200
924.67224,250
925.07861,190
925.48492,200
925.89124,180
926.29749,210
926.70374,140
927.10992,60
927.51611,170
927.92224,120
928.32837,220
928.7345,230
929.14056,240
929.54663,110
929.95264,170
930.35864,140
930.76459,220
931.17053,210
931.57642,260
931.9823,180
932.38818,170
932.79401,150
933.19983,200
933.60559,160
934.01135,180
934.41705,210
934.82275,200
935.22839,80
935.63403,210
936.03967,150
936.44525,130
936.85077,130
937.25629,190
937.6618,130
938.06726,120
938.47272,190
938.87811,140
939.28351,150
939.6889,150
940.09424,110
940.49951,80
940.90479,110
941.31006,140
941.71527,210
942.12048,210
942.52563,140
942.93073,130
943.33588,90
943.74097,170
944.146,170
944.55103,170
944.95599,70
945.36096,150
945.76593,150
946.17084,220
946.57574,150
946.98059,160
947.38538,110
947.79022,80
948.19495,160
948.59973,110
949.00439,140
949.40912,150
949.81378,100
950.21838,150
950.62299,100
951.02759,50
951.43213,130
951.83661,70
952.24109,110
952.64557,70
953.04999,90
953.45441,200
953.85876,110
954.26312,140
954.66742,100
955.07172,120
955.47595,120
955.88019,130
956.28442,140
956.6886,160
957.09271,210
957.49683,150
957.90094,70
958.30499,170
958.70898,150
959.11298,130
959.51697,80
959.9209,160
960.32483,40
960.7287,130
961.13257,150
961.53638,120
961.94019,120
962.34393,40
962.74768,50
963.15137,150
963.55505,120
963.95874,100
964.3623,60
964.76593,130
965.16949,100
965.573,100
965.9765,150
966.38,50
966.78345,130
967.18683,140
967.59021,150
967.99359,110
968.39691,130
968.80023,100
969.20349,120
969.60675,130
970.00995,150
970.41315,30
970.81628,40
971.21936,100
971.6225,100
972.02551,50
972.42859,140
972.8316,80
973.23456,90
973.63751,140
974.04041,70
974.4433,100
974.84613,60
975.24896,110
975.65173,140
976.0545,60
976.45728,120
976.85999,80
977.26263,110
977.66528,150
978.06787,30
978.47046,60
978.87305,110
979.27557,110
979.67804,70
980.08051,90
980.48297,110
980.88538,120
981.28772,150
981.69006,110
982.09241,120
982.49469,190
982.89691,130
983.29913,170
983.70135,110
984.10352,90
984.50562,50
984.90771,100
985.30981,90
985.71185,50
986.11383,80
986.51581,100
986.91779,100
987.3197,120
987.72156,110
988.12347,40
988.52527,90
988.92706,90
989.32886,90
989.73059,50
990.13226,90
990.53394,0
990.93561,30
991.33722,130
991.73877,110
992.14032,130
992.54187,40
992.94336,50
993.34479,110
993.74622,50
994.14764,30
994.54901,30
994.95032,140
995.35162,150
995.75293,50
996.15417,100
996.55536,70
996.95654,140
997.35767,90
997.75879,120
998.15991,160
998.56097,60
998.96198,130
999.36298,90
999.76392,100
1000.1649,60
1000.5657,100
1000.9666,80
1001.3675,100
1001.7682,150
1002.1691,140
1002.5698,60
1002.9705,100
1003.3712,130
1003.7719,120
1004.1724,40
1004.5731,90
1004.9736,150
1005.3741,80
1005.7746,130
1006.175,120
1006.5755,40
1006.9759,90
1007.3762,130
1007.7766,40
1008.1769,120
1008.5771,110
